variables;lower;upper;distribution;unit;description;sources
n_years;15;15;const;;Number of years;
establishment_labour_cost;1200;17800;posnorm;USD;Labour cost for establishment ;
infrastructure_establishment_cost;9280;46400;posnorm;USD;Infrastructure cost for establishment;
labour_cost;540;24000;posnorm;USD/year;Cost of labour;
management_cost;1200;6500;posnorm;USD/year;Cost of management ;
cattle_profit;716,7;833,3;posnorm;USD/cow;Profit from cattle;Choice Meats Company
biogas_profit;3555;178500;posnorm;USD/year;Profit from biogas;
number_of_cattle;20;1000;posnorm;Per farm size;Number of cattles per farm size;
quantity_of _biogas;2044;102200;posnorm;cubic meters/year;Amount of biogas;
quantity _of_raw_manure;10;30;posnorm;kg/day/cow;Amount of manure ;
land_size;200;10000;posnorm;ha;size of land;
fossil_fuel_equivalent;880;43946;posnorm;kg/year;Fossil fuel equivalent ;
fertilizer_value_from_slurry;151;7555;posnorm;USD/year;Value of fertilizer from slurry;
land_applied_manure;87,6;4380;posnorm;tons/year;Manure on land;
quantity_of_slurry;58,4;2920;posnorm;tons/year;Amount of slurry;
carbon_sequestered_from_manure;1,52;767;posnorm;tC/year;Sequestered carbon from manure ;https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter07.pdf, https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GB005960
carbon_sequestered_from_slurry;0,045;2,24;posnorm;tC/year;Sequestered carbon from slurry;https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter07.pdf, https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GB005960
methane_captured_from _biogas_generation;1226;61320;posnorm;cubic meters/year;Methane captured from biogas generation;https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter07.pdf, https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GB005960
